Epoch   1 | Train: 0.5403 | Val: 0.9615 | Time: 0.2m
Epoch   2 | Train: 0.2980 | Val: 0.7876 | Time: 0.3m
Epoch   3 | Train: 0.2525 | Val: 0.6610 | Time: 0.5m
Epoch   4 | Train: 0.2390 | Val: 0.5730 | Time: 0.6m
Epoch   5 | Train: 0.2263 | Val: 0.5002 | Time: 0.8m
Epoch   6 | Train: 0.2226 | Val: 0.4745 | Time: 0.9m
Epoch   7 | Train: 0.1941 | Val: 0.4232 | Time: 1.1m
Epoch   8 | Train: 0.1959 | Val: 0.4370 | Time: 1.2m
Epoch   9 | Train: 0.2032 | Val: 0.3863 | Time: 1.4m
Epoch  10 | Train: 0.1876 | Val: 0.3795 | Time: 1.5m
Epoch  11 | Train: 0.1837 | Val: 0.3561 | Time: 1.7m
Epoch  12 | Train: 0.1681 | Val: 0.3994 | Time: 1.8m
Epoch  13 | Train: 0.1824 | Val: 0.3235 | Time: 2.0m
Epoch  14 | Train: 0.1830 | Val: 0.3881 | Time: 2.1m
Epoch  15 | Train: 0.1717 | Val: 0.3299 | Time: 2.3m
Epoch  16 | Train: 0.1662 | Val: 0.2973 | Time: 2.4m
Epoch  17 | Train: 0.1848 | Val: 0.3074 | Time: 2.6m
Epoch  18 | Train: 0.1763 | Val: 0.3021 | Time: 2.7m
Epoch  19 | Train: 0.1682 | Val: 0.3157 | Time: 2.9m
Epoch  20 | Train: 0.1560 | Val: 0.2895 | Time: 3.0m
Epoch  21 | Train: 0.1583 | Val: 0.3161 | Time: 3.2m
Epoch  22 | Train: 0.1619 | Val: 0.3247 | Time: 3.3m
Epoch  23 | Train: 0.1514 | Val: 0.3150 | Time: 3.5m
Epoch  24 | Train: 0.1721 | Val: 0.2879 | Time: 3.6m
Epoch  25 | Train: 0.1364 | Val: 0.2926 | Time: 3.8m
Epoch  26 | Train: 0.1571 | Val: 0.2905 | Time: 3.9m
Epoch  27 | Train: 0.1471 | Val: 0.2761 | Time: 4.1m
Epoch  28 | Train: 0.1640 | Val: 0.2744 | Time: 4.3m
Epoch  29 | Train: 0.1449 | Val: 0.2776 | Time: 4.4m
Epoch  30 | Train: 0.1409 | Val: 0.2835 | Time: 4.6m
Epoch  31 | Train: 0.1318 | Val: 0.2905 | Time: 4.7m
Epoch  32 | Train: 0.1496 | Val: 0.2759 | Time: 4.9m
Epoch  33 | Train: 0.1283 | Val: 0.2615 | Time: 5.0m
Epoch  34 | Train: 0.1498 | Val: 0.3211 | Time: 5.2m
Epoch  35 | Train: 0.1376 | Val: 0.2543 | Time: 5.3m
Epoch  36 | Train: 0.1327 | Val: 0.2686 | Time: 5.5m
Epoch  37 | Train: 0.1200 | Val: 0.2516 | Time: 5.6m
Epoch  38 | Train: 0.1294 | Val: 0.2300 | Time: 5.8m
Epoch  39 | Train: 0.1378 | Val: 0.2617 | Time: 5.9m
Epoch  40 | Train: 0.1217 | Val: 0.2434 | Time: 6.1m
Epoch  41 | Train: 0.1342 | Val: 0.2565 | Time: 6.2m
Epoch  42 | Train: 0.1295 | Val: 0.2781 | Time: 6.4m
