Group,Value,Method,N,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,wrapped_mae_mean,wrapped_mae_std,gradient_mae_mean,gradient_mae_std,gain_mae_mean,gain_mae_std
source_domain,real,Least-Squares,63,10.8435955,7.2220902,11.427113,7.038365,1.5188123,0.13966359,1.0620468,0.58307886,0.0,0.0
source_domain,real,Quality-Guided,63,11.073644,7.3672123,11.3280525,7.2728977,8.530103e-08,7.156896e-08,0.9173066,0.52726126,-0.2300481,1.767291
source_domain,real,UNet Reg.,63,6.4448047,4.405392,6.733026,4.305995,1.7340757,0.49417856,0.7020791,0.36047515,4.398791,3.5023072
source_domain,real,DDPM (Ours),63,6.9145794,4.6251755,7.232329,4.5124784,1.6707971,0.3773151,0.70943344,0.3492133,3.929016,3.004823
source_domain,synthetic,Least-Squares,17,17.539661,13.937572,20.785246,14.314045,1.5556753,0.06514938,0.25741515,0.19587861,0.0,0.0
source_domain,synthetic,Quality-Guided,17,11.526057,9.082026,11.730505,9.29233,2.0769212e-07,1.6202564e-07,0.08037174,0.08150275,6.013605,8.620086
source_domain,synthetic,UNet Reg.,17,8.064201,7.339757,9.482805,7.646025,1.4213407,0.19948444,0.180816,0.10650614,9.475462,7.141802
source_domain,synthetic,DDPM (Ours),17,9.890439,8.149238,11.604588,8.434061,1.5312091,0.19139825,0.23712467,0.107417025,7.649224,6.000573
noise_level,observed,Least-Squares,63,10.8435955,7.2220902,11.427113,7.038365,1.5188123,0.13966359,1.0620468,0.58307886,0.0,0.0
noise_level,observed,Quality-Guided,63,11.073644,7.3672123,11.3280525,7.2728977,8.530103e-08,7.156896e-08,0.9173066,0.52726126,-0.2300481,1.767291
noise_level,observed,UNet Reg.,63,6.4448047,4.405392,6.733026,4.305995,1.7340757,0.49417856,0.7020791,0.36047515,4.398791,3.5023072
noise_level,observed,DDPM (Ours),63,6.9145794,4.6251755,7.232329,4.5124784,1.6707971,0.3773151,0.70943344,0.3492133,3.929016,3.004823
noise_level,low,Least-Squares,5,29.872793,15.691556,33.508167,14.753214,1.5315615,0.086007565,0.42308673,0.23006237,0.0,0.0
noise_level,low,Quality-Guided,5,17.02861,9.345201,17.184711,9.573931,3.455087e-07,1.6344576e-07,0.09650127,0.10781856,12.844183,13.103441
noise_level,low,UNet Reg.,5,13.730104,8.050647,15.424402,7.8160043,1.4579331,0.24301904,0.25670457,0.13450135,16.142689,7.808334
noise_level,low,DDPM (Ours),5,16.813385,8.652973,18.690004,8.173633,1.5569595,0.2090877,0.31981206,0.12687783,13.059407,7.116638
noise_level,medium,Least-Squares,6,16.308708,10.784637,21.077997,11.013302,1.5587343,0.07116102,0.2636474,0.16020016,0.0,0.0
noise_level,medium,Quality-Guided,6,11.129333,10.358119,11.429784,10.822282,1.9239837e-07,1.4781916e-07,0.09110585,0.10323464,5.1793756,3.773687
noise_level,medium,UNet Reg.,6,7.511725,7.543837,9.310397,7.9843082,1.3598957,0.2366929,0.16846563,0.11134821,8.796982,4.7029085
noise_level,medium,DDPM (Ours),6,9.474103,7.354687,12.08884,7.6550655,1.4438187,0.20209526,0.24701935,0.09456732,6.834604,3.9825134
noise_level,high,Least-Squares,6,8.493008,7.4963803,9.890063,7.4708676,1.5727109,0.040737297,0.11312326,0.047896598,0.0,0.0
noise_level,high,Quality-Guided,6,7.3373237,5.9386687,7.486052,5.8639927,1.08138714e-07,9.807204e-08,0.05619638,0.0141281225,1.155684,3.2197385
noise_level,high,UNet Reg.,6,3.8950891,3.2100103,4.7038817,3.4223332,1.4522926,0.13058174,0.12992589,0.019457428,4.597918,4.3325286
noise_level,high,DDPM (Ours),6,4.537651,4.000457,5.215819,4.0144787,1.5971411,0.16237567,0.15832381,0.026370184,3.9553568,3.5219822
gradient_level,observed,Least-Squares,63,10.8435955,7.2220902,11.427113,7.038365,1.5188123,0.13966359,1.0620468,0.58307886,0.0,0.0
gradient_level,observed,Quality-Guided,63,11.073644,7.3672123,11.3280525,7.2728977,8.530103e-08,7.156896e-08,0.9173066,0.52726126,-0.2300481,1.767291
gradient_level,observed,UNet Reg.,63,6.4448047,4.405392,6.733026,4.305995,1.7340757,0.49417856,0.7020791,0.36047515,4.398791,3.5023072
gradient_level,observed,DDPM (Ours),63,6.9145794,4.6251755,7.232329,4.5124784,1.6707971,0.3773151,0.70943344,0.3492133,3.929016,3.004823
gradient_level,high,Least-Squares,5,28.75582,15.483184,33.911583,13.931052,1.5815617,0.029301085,0.43294698,0.2207026,0.0,0.0
gradient_level,high,Quality-Guided,5,17.024467,9.325136,17.334934,9.782937,3.4129445e-07,1.5202828e-07,0.10209836,0.11527949,11.731353,14.026938
gradient_level,high,UNet Reg.,5,14.399954,8.357208,16.531872,8.12081,1.4833127,0.17668015,0.25790638,0.13537651,14.3558655,8.442907
gradient_level,high,DDPM (Ours),5,16.946129,8.61328,19.711601,7.91878,1.5741336,0.20326358,0.3309617,0.119639255,11.80969,7.4129004
gradient_level,low,Least-Squares,5,4.9665556,0.5613779,6.296023,0.7031109,1.556621,0.025501689,0.08743695,0.008923127,0.0,0.0
gradient_level,low,Quality-Guided,5,4.9623766,2.4077723,5.1058717,2.3973224,7.125442e-08,2.2433193e-08,0.052185882,0.019767364,0.004179525,2.0683131
gradient_level,low,UNet Reg.,5,2.5135474,0.49815196,3.3786132,0.6261466,1.3744706,0.23989493,0.11315908,0.03173286,2.4530087,0.22732295
gradient_level,low,DDPM (Ours),5,2.6808023,0.5851851,3.3649468,0.53816044,1.5656337,0.24757525,0.14950374,0.016252587,2.2857537,0.25101975
gradient_level,medium,Least-Squares,7,18.508911,10.969014,21.758734,9.8503,1.5365094,0.09656533,0.2534483,0.14148483,0.0,0.0
gradient_level,medium,Quality-Guided,7,12.286965,9.815666,12.459219,9.962864,2.0971738e-07,1.5449957e-07,0.084985495,0.08668072,6.2219453,2.5958078
gradient_level,medium,UNet Reg.,7,7.503414,6.1186757,8.807893,6.2194285,1.4105539,0.204386,0.17407778,0.09241399,11.005496,4.978201
gradient_level,medium,DDPM (Ours),7,10.0004,6.5261574,11.699319,6.027823,1.4759599,0.15230946,0.23268458,0.085393004,8.50851,4.4815073
deformation_type,observed,Least-Squares,63,10.8435955,7.2220902,11.427113,7.038365,1.5188123,0.13966359,1.0620468,0.58307886,0.0,0.0
deformation_type,observed,Quality-Guided,63,11.073644,7.3672123,11.3280525,7.2728977,8.530103e-08,7.156896e-08,0.9173066,0.52726126,-0.2300481,1.767291
deformation_type,observed,UNet Reg.,63,6.4448047,4.405392,6.733026,4.305995,1.7340757,0.49417856,0.7020791,0.36047515,4.398791,3.5023072
deformation_type,observed,DDPM (Ours),63,6.9145794,4.6251755,7.232329,4.5124784,1.6707971,0.3773151,0.70943344,0.3492133,3.929016,3.004823
deformation_type,fault_step,Least-Squares,6,34.293568,8.506862,37.181335,8.906962,1.5646996,0.062335994,0.4626689,0.18585941,0.0,0.0
deformation_type,fault_step,Quality-Guided,6,22.035713,6.3199797,22.42286,6.7758193,4.0278974e-07,8.390071e-08,0.1443308,0.11438039,12.2578535,12.04456
