sample,source_domain,deformation_type,noise_level,coherence_level,gradient_level,difficulty_score,coarse_mae,ls_masked_mae,ls_masked_rmse,ls_wrapped_mae,ls_gradient_mae,ls_gain_mae,qg_masked_mae,qg_masked_rmse,qg_wrapped_mae,qg_gradient_mae,qg_gain_mae,unet_masked_mae,unet_masked_rmse,unet_wrapped_mae,unet_gradient_mae,unet_gain_mae,ddpm_masked_mae,ddpm_masked_rmse,ddpm_wrapped_mae,ddpm_gradient_mae,ddpm_gain_mae
real__20170522_20180809_y00512_x00768.npz,real,observed,observed,observed,observed,4.294338703155518,12.935982,12.935982,13.052016,1.4310025,0.24572194,0.0,11.300277,11.300274,1.14740374e-07,0.22323899,1.635705,5.6534133,5.6774106,0.6772716,0.1142997,7.2825685,5.5998406,5.664918,0.7889357,0.2283979,7.336141
real__20170522_20180809_y00640_x01280.npz,real,observed,observed,observed,observed,3.264514446258545,5.506874,5.506874,6.1800737,1.6299906,0.40775633,0.0,4.9492393,4.976678,4.7993442e-08,0.35225376,0.55763483,3.1314375,3.2932699,1.6579045,0.22210613,2.3754365,1.8112005,2.1666636,1.8519725,0.25033414,3.6956735
real__20170522_20180809_y00640_x02176.npz,real,observed,observed,observed,observed,2.6204020977020264,3.5003285,3.5003285,3.820137,1.4861665,0.6762916,0.0,5.0747595,5.1154633,5.4402842e-09,0.7090076,-1.574431,4.897491,4.941337,0.46839488,0.7390846,-1.3971624,4.810613,4.8791485,0.6557696,0.7876897,-1.3102846
real__20170522_20180809_y00640_x02560.npz,real,observed,observed,observed,observed,3.26167893409729,2.8877773,2.8877773,4.1630783,1.576558,0.22161454,0.0,2.3962767,3.0426595,7.525206e-09,0.1873482,0.49150062,3.2001228,4.5332413,2.1212094,0.19298987,-0.3123455,2.3907683,3.8291953,1.4817376,0.2883259,0.49700904
real__20170522_20180809_y00768_x00000.npz,real,observed,observed,observed,observed,3.1497862339019775,4.6310105,4.6310105,5.415505,1.5216662,0.35406,0.0,5.019613,5.021882,8.38307e-08,0.3600945,-0.38860226,0.71164536,0.9312037,1.6037656,0.1692594,3.9193652,1.1839144,1.5269399,1.5658531,0.20636699,3.447096
real__20170522_20180809_y00768_x01536.npz,real,observed,observed,observed,observed,3.332378387451172,5.8755693,5.8755693,6.5418267,1.6675504,0.8502879,0.0,8.726692,9.096145,5.7694283e-08,0.8918164,-2.8511229,4.2831016,4.530837,2.123599,0.690436,1.5924678,5.108653,5.3591514,1.7443995,0.66086173,0.7669163
real__20170522_20180809_y00768_x02560.npz,real,observed,observed,observed,observed,3.494549036026001,8.511736,8.511736,8.9389305,1.2302047,0.45003825,0.0,11.288885,11.312282,5.626613e-08,0.4858024,-2.7771492,7.9867244,8.06346,2.542031,0.37776518,0.52501154,7.519132,7.6402435,2.1029027,0.44038662,0.9926038
real__20170522_20180809_y00896_x01280.npz,real,observed,observed,observed,observed,3.6308932304382324,1.9652158,1.9652158,2.5050569,1.2428317,0.4996059,0.0,1.311541,1.4095815,4.2024184e-09,0.3831979,0.65367484,2.2899895,2.363516,1.1410832,0.3935163,-0.32477367,2.1468604,2.330504,1.046454,0.38630414,-0.18164456
real__20170522_20180809_y01024_x00512.npz,real,observed,observed,observed,observed,4.197041034698486,8.6691675,8.6691675,9.124501,1.7649819,0.9472435,0.0,7.4849143,7.515114,1.2681098e-08,0.65627056,1.1842532,3.7950368,3.9879727,2.029754,0.65893364,4.8741307,5.779089,5.957182,1.6064287,0.6696389,2.8900785
real__20170522_20180809_y01024_x01024.npz,real,observed,observed,observed,observed,4.882266521453857,11.235212,11.235212,11.916378,1.3006253,1.2421234,0.0,14.812478,15.005106,1.6156342e-07,1.4188569,-3.5772657,5.503155,6.082393,1.2508594,0.8541062,5.732057,7.2138467,7.553644,1.5507565,0.8378117,4.0213656
real__20170522_20180809_y01024_x01280.npz,real,observed,observed,observed,observed,4.586163520812988,6.4827433,6.4827433,8.458352,1.4902995,0.9301007,0.0,1.6073394,2.2103553,5.000004e-08,0.7259567,4.875404,4.835882,5.492311,1.5969837,0.6545426,1.6468611,4.7806983,5.594972,1.4650183,0.6484133,1.702045
