Epoch   1 | Train Loss: 0.5953 | Val Loss: 0.9823 | LR: 1.00e-04 | Time: 0.2m
Epoch   2 | Train Loss: 0.3938 | Val Loss: 0.8245 | LR: 9.99e-05 | Time: 0.3m
Epoch   3 | Train Loss: 0.3409 | Val Loss: 0.6939 | LR: 9.98e-05 | Time: 0.5m
Epoch   4 | Train Loss: 0.3205 | Val Loss: 0.5920 | LR: 9.96e-05 | Time: 0.6m
Epoch   5 | Train Loss: 0.3041 | Val Loss: 0.4737 | LR: 9.94e-05 | Time: 0.8m
Epoch   6 | Train Loss: 0.2846 | Val Loss: 0.4424 | LR: 9.91e-05 | Time: 1.0m
Epoch   7 | Train Loss: 0.2926 | Val Loss: 0.4196 | LR: 9.88e-05 | Time: 1.1m
Epoch   8 | Train Loss: 0.2729 | Val Loss: 0.3862 | LR: 9.84e-05 | Time: 1.3m
Epoch   9 | Train Loss: 0.2567 | Val Loss: 0.3765 | LR: 9.80e-05 | Time: 1.4m
Epoch  10 | Train Loss: 0.2574 | Val Loss: 0.3502 | LR: 9.76e-05 | Time: 1.6m
Epoch  11 | Train Loss: 0.2418 | Val Loss: 0.3659 | LR: 9.70e-05 | Time: 1.8m
Epoch  12 | Train Loss: 0.2479 | Val Loss: 0.3768 | LR: 9.65e-05 | Time: 1.9m
Epoch  13 | Train Loss: 0.2302 | Val Loss: 0.3362 | LR: 9.59e-05 | Time: 2.1m
Epoch  14 | Train Loss: 0.2235 | Val Loss: 0.3212 | LR: 9.52e-05 | Time: 2.2m
Epoch  15 | Train Loss: 0.2292 | Val Loss: 0.2963 | LR: 9.46e-05 | Time: 2.4m
Epoch  16 | Train Loss: 0.2270 | Val Loss: 0.3135 | LR: 9.38e-05 | Time: 2.5m
Epoch  17 | Train Loss: 0.2151 | Val Loss: 0.2974 | LR: 9.30e-05 | Time: 2.7m
Epoch  18 | Train Loss: 0.2274 | Val Loss: 0.2647 | LR: 9.22e-05 | Time: 2.9m
Epoch  19 | Train Loss: 0.2183 | Val Loss: 0.2796 | LR: 9.14e-05 | Time: 3.0m
Epoch  20 | Train Loss: 0.2177 | Val Loss: 0.2342 | LR: 9.05e-05 | Time: 3.2m
Epoch  21 | Train Loss: 0.1825 | Val Loss: 0.2665 | LR: 8.95e-05 | Time: 3.3m
Epoch  22 | Train Loss: 0.1979 | Val Loss: 0.2600 | LR: 8.85e-05 | Time: 3.5m
Epoch  23 | Train Loss: 0.1912 | Val Loss: 0.2163 | LR: 8.75e-05 | Time: 3.6m
Epoch  24 | Train Loss: 0.1804 | Val Loss: 0.2577 | LR: 8.64e-05 | Time: 3.8m
Epoch  25 | Train Loss: 0.1871 | Val Loss: 0.2501 | LR: 8.54e-05 | Time: 4.0m
Epoch  26 | Train Loss: 0.1642 | Val Loss: 0.2689 | LR: 8.42e-05 | Time: 4.1m
Epoch  27 | Train Loss: 0.1817 | Val Loss: 0.2247 | LR: 8.31e-05 | Time: 4.3m
Epoch  28 | Train Loss: 0.1818 | Val Loss: 0.2043 | LR: 8.19e-05 | Time: 4.4m
Epoch  29 | Train Loss: 0.1707 | Val Loss: 0.2116 | LR: 8.06e-05 | Time: 4.6m
Epoch  30 | Train Loss: 0.1744 | Val Loss: 0.2298 | LR: 7.94e-05 | Time: 4.7m
Epoch  31 | Train Loss: 0.1518 | Val Loss: 0.2222 | LR: 7.81e-05 | Time: 4.9m
Epoch  32 | Train Loss: 0.1572 | Val Loss: 0.2065 | LR: 7.68e-05 | Time: 5.0m
Epoch  33 | Train Loss: 0.1418 | Val Loss: 0.2251 | LR: 7.55e-05 | Time: 5.2m
Epoch  34 | Train Loss: 0.1522 | Val Loss: 0.2296 | LR: 7.41e-05 | Time: 5.3m
Epoch  35 | Train Loss: 0.1558 | Val Loss: 0.2350 | LR: 7.27e-05 | Time: 5.5m
Epoch  36 | Train Loss: 0.1566 | Val Loss: 0.2086 | LR: 7.13e-05 | Time: 5.6m
Epoch  37 | Train Loss: 0.1598 | Val Loss: 0.1550 | LR: 6.99e-05 | Time: 5.8m
Epoch  38 | Train Loss: 0.1543 | Val Loss: 0.2189 | LR: 6.84e-05 | Time: 5.9m
Epoch  39 | Train Loss: 0.1445 | Val Loss: 0.1926 | LR: 6.69e-05 | Time: 6.1m
Epoch  40 | Train Loss: 0.1387 | Val Loss: 0.2116 | LR: 6.55e-05 | Time: 6.3m
Epoch  41 | Train Loss: 0.1421 | Val Loss: 0.1780 | LR: 6.39e-05 | Time: 6.4m
Epoch  42 | Train Loss: 0.1502 | Val Loss: 0.1956 | LR: 6.24e-05 | Time: 6.6m
Epoch  43 | Train Loss: 0.1383 | Val Loss: 0.1914 | LR: 6.09e-05 | Time: 6.7m
Epoch  44 | Train Loss: 0.1342 | Val Loss: 0.1760 | LR: 5.94e-05 | Time: 6.9m
Epoch  45 | Train Loss: 0.1241 | Val Loss: 0.2019 | LR: 5.78e-05 | Time: 7.0m
Epoch  46 | Train Loss: 0.1207 | Val Loss: 0.1550 | LR: 5.63e-05 | Time: 7.2m
Epoch  47 | Train Loss: 0.1318 | Val Loss: 0.1465 | LR: 5.47e-05 | Time: 7.3m
Epoch  48 | Train Loss: 0.1456 | Val Loss: 0.1581 | LR: 5.31e-05 | Time: 7.5m
Epoch  49 | Train Loss: 0.1317 | Val Loss: 0.1442 | LR: 5.16e-05 | Time: 7.6m
Epoch  50 | Train Loss: 0.1309 | Val Loss: 0.1837 | LR: 5.00e-05 | Time: 7.8m
Epoch  51 | Train Loss: 0.1338 | Val Loss: 0.1596 | LR: 4.84e-05 | Time: 8.0m
Epoch  52 | Train Loss: 0.1354 | Val Loss: 0.1416 | LR: 4.69e-05 | Time: 8.1m
Epoch  53 | Train Loss: 0.1291 | Val Loss: 0.1373 | LR: 4.53e-05 | Time: 8.3m
Epoch  54 | Train Loss: 0.1290 | Val Loss: 0.1437 | LR: 4.37e-05 | Time: 8.4m
Epoch  55 | Train Loss: 0.1292 | Val Loss: 0.1428 | LR: 4.22e-05 | Time: 8.6m
Epoch  56 | Train Loss: 0.1212 | Val Loss: 0.1650 | LR: 4.06e-05 | Time: 8.8m
Epoch  57 | Train Loss: 0.1336 | Val Loss: 0.1306 | LR: 3.91e-05 | Time: 8.9m
Epoch  58 | Train Loss: 0.1149 | Val Loss: 0.1573 | LR: 3.76e-05 | Time: 9.1m
Epoch  59 | Train Loss: 0.1463 | Val Loss: 0.1550 | LR: 3.61e-05 | Time: 9.2m
Epoch  60 | Train Loss: 0.1264 | Val Loss: 0.1186 | LR: 3.45e-05 | Time: 9.4m
Epoch  61 | Train Loss: 0.1283 | Val Loss: 0.1415 | LR: 3.31e-05 | Time: 9.5m
Epoch  62 | Train Loss: 0.1205 | Val Loss: 0.1511 | LR: 3.16e-05 | Time: 9.7m
Epoch  63 | Train Loss: 0.1221 | Val Loss: 0.1538 | LR: 3.01e-05 | Time: 9.8m
