Epoch   1 | Train MSE+L1: 62.6101 | Val MAE: 6.8486 | Time: 0.1m
Epoch   2 | Train MSE+L1: 79.5216 | Val MAE: 6.9222 | Time: 0.3m
Epoch   3 | Train MSE+L1: 60.9777 | Val MAE: 6.8297 | Time: 0.4m
Epoch   4 | Train MSE+L1: 72.7714 | Val MAE: 6.8098 | Time: 0.6m
Epoch   5 | Train MSE+L1: 63.0308 | Val MAE: 6.9643 | Time: 0.7m
Epoch   6 | Train MSE+L1: 60.9257 | Val MAE: 7.0528 | Time: 0.9m
Epoch   7 | Train MSE+L1: 77.1926 | Val MAE: 6.9409 | Time: 1.0m
Epoch   8 | Train MSE+L1: 62.0120 | Val MAE: 7.0543 | Time: 1.2m
Epoch   9 | Train MSE+L1: 58.6202 | Val MAE: 6.8937 | Time: 1.3m
Epoch  10 | Train MSE+L1: 60.6415 | Val MAE: 6.8835 | Time: 1.4m
Epoch  11 | Train MSE+L1: 55.0166 | Val MAE: 6.9851 | Time: 1.6m
Epoch  12 | Train MSE+L1: 63.7075 | Val MAE: 6.8903 | Time: 1.7m
Epoch  13 | Train MSE+L1: 58.6956 | Val MAE: 6.9389 | Time: 1.9m
Epoch  14 | Train MSE+L1: 67.5029 | Val MAE: 6.8090 | Time: 2.0m
Epoch  15 | Train MSE+L1: 71.5037 | Val MAE: 6.9283 | Time: 2.2m
Epoch  16 | Train MSE+L1: 61.1867 | Val MAE: 6.7936 | Time: 2.3m
Epoch  17 | Train MSE+L1: 70.9450 | Val MAE: 7.0027 | Time: 2.5m
Epoch  18 | Train MSE+L1: 66.8526 | Val MAE: 6.9361 | Time: 2.6m
Epoch  19 | Train MSE+L1: 64.6303 | Val MAE: 6.9371 | Time: 2.7m
Epoch  20 | Train MSE+L1: 69.7645 | Val MAE: 6.9458 | Time: 2.9m
Epoch  21 | Train MSE+L1: 66.9158 | Val MAE: 6.8078 | Time: 3.0m
Epoch  22 | Train MSE+L1: 67.6030 | Val MAE: 7.2412 | Time: 3.2m
Epoch  23 | Train MSE+L1: 66.1931 | Val MAE: 6.8646 | Time: 3.3m
Epoch  24 | Train MSE+L1: 64.9846 | Val MAE: 6.8545 | Time: 3.5m
Epoch  25 | Train MSE+L1: 64.7193 | Val MAE: 6.9098 | Time: 3.6m
